Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep
201800000001,18,1,24,1505,1,1,4,1,1,005,route des Ansereuilles,M,5055737,0294992,590
201800000002,18,2,12,1015,1,2,7,7,7,011,Place du général de Gaul,M,5052936,0293151,590
201800000003,18,3,4,1135,1,2,3,1,7,477,Rue  nationale,M,5051243,0291714,590
201800000004,18,5,5,1735,1,2,1,7,3,052,30 rue Jules Guesde,M,5051974,0289123,590
201800000005,18,6,26,1605,1,2,1,1,3,477,72 rue Victor Hugo,M,5051607,0290605,590
201800000006,18,9,23,630,2,2,1,2,6,052,D39,M,5052132,0288837,590
201800000007,18,9,26,40,5,2,1,1,6,133,4 route de camphin,M,5052211,0296652,590
201800000008,18,11,30,1715,5,2,1,1,6,011,rue saint exupéry,M,5053146,0293875,590
201800000009,18,2,18,1557,1,1,1,1,6,550,rue de l'égalité,M,5053707,0284896,590
201800000010,18,3,19,1530,1,2,2,1,1,051,face au 59 rue de Lille,M,5053639,0281517,590
