Num_Acc,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1
201800000001,3,41,NA,C,2,02,NA,NA,0,1,3,NA,NA,1,0,1,00
201800000002,4,41,NA,D,2,02,NA,NA,0,1,2,NA,NA,1,0,1,00
201800000003,3,39,NA,D,2,02,NA,NA,0,1,1,NA,NA,1,0,1,00
201800000004,3,39,NA,NA,2,02,NA,NA,0,1,1,NA,NA,1,0,1,00
201800000005,4,NA,NA,NA,1,01,NA,NA,0,1,1,NA,NA,1,0,1,00
201800000006,3,39,NA,D,0,02,NA,NA,0,2,2,NA,NA,2,0,3,00
201800000007,3,41,NA,D,2,02,16,500,0,1,1,NA,NA,1,0,3,00
201800000008,4,-,NA,NA,2,02,NA,NA,0,1,1,NA,NA,1,0,1,00
201800000009,3,141,NA,D,2,02,NA,NA,0,1,1,NA,NA,1,0,3,00
201800000010,3,641,NA,NA,2,02,1,670,2,1,1,NA,NA,1,0,1,00
